MAG_run_accession	ASV_run_accession	SAMPLEID
ERR599219	ERR562634	TARA_082_DCM_0.8-5
ERR599221	ERR562546	TARA_082_DCM_5-20
ERR599222	ERR562430	TARA_052_SRF_5-20
ERR599223	ERR562375	TARA_068_SRF_5-20
ERR599224	ERR562503	TARA_084_SRF_5-20
ERR599226	ERR562636	TARA_064_DCM_5-20
ERR599228	ERR562557	TARA_085_SRF_5-20
ERR599229	ERR562445	TARA_068_DCM_5-20
ERR599231	ERR562567	TARA_066_DCM_5-20
ERR599232	ERR562719	TARA_082_SRF_5-20
ERR599233	ERR562660	TARA_066_DCM_0.8-5
ERR599234	ERR562440	TARA_082_SRF_180-2000
ERR599235	ERR562660	TARA_066_DCM_0.8-5
ERR599236	ERR562683	TARA_068_DCM_0.8->
ERR599237	ERR562716	TARA_078_SRF_0.8->
ERR599238	ERR562641	TARA_067_SRF_0.8->
ERR599239	ERR562478	TARA_085_DCM_0.8->
ERR599240	ERR562680	TARA_078_DCM_0.8->
ERR599241	ERR562601	TARA_070_SRF_5-20
ERR599242	ERR562660	TARA_066_DCM_0.8-5
ERR599243	ERR562454	TARA_068_SRF_180-2000
ERR599244	ERR562458	TARA_064_DCM_180-2000
ERR599245	ERR562419	TARA_078_SRF_180-2000
ERR599247	ERR562554	TARA_064_SRF_180-2000
ERR599249	ERR562511	TARA_052_DCM_180-2000
ERR599250	ERR562718	TARA_078_SRF_5-20
ERR599251	ERR562660	TARA_066_DCM_0.8-5
ERR599252	ERR562660	TARA_066_DCM_0.8-5
ERR599253	ERR562512	TARA_076_SRF_0.8->
ERR599254	ERR562657	TARA_084_SRF_0.8-5
ERR599255	ERR562669	TARA_067_SRF_180-2000
ERR599256	ERR562527	TARA_072_SRF_20-180
ERR599257	ERR562532	TARA_068_SRF_0.8-5
ERR599258	ERR562505	TARA_070_SRF_20-180
ERR599259	ERR562531	TARA_068_DCM_180-2000
ERR599261	ERR562457	TARA_066_SRF_0.8-5
ERR599262	ERR562402	TARA_078_DCM_20-180
ERR599263	ERR562397	TARA_078_SRF_20-180
ERR599264	ERR562501	TARA_085_SRF_20-180
ERR599265	ERR562584	TARA_078_DCM_180-2000
ERR599266	ERR562551	TARA_064_SRF_0.8-5
ERR599267	ERR562429	TARA_072_SRF_0.8->
ERR599269	ERR562476	TARA_067_SRF_20-180
ERR599270	ERR562426	TARA_084_SRF_0.8->
ERR599271	ERR562660	TARA_066_DCM_0.8-5
ERR599272	ERR562660	TARA_066_DCM_0.8-5
ERR599273	ERR562660	TARA_066_DCM_0.8-5
ERR599274	ERR562660	TARA_066_DCM_0.8-5
ERR599275	ERR562565	TARA_076_DCM_0.8->
ERR599276	ERR562647	TARA_072_SRF_0.8-5
ERR599277	ERR562520	TARA_066_SRF_180-2000
ERR599279	ERR562650	TARA_082_DCM_180-2000
ERR599280	ERR562434	TARA_052_SRF_0.8-5
ERR599281	ERR562404	TARA_085_SRF_0.8->
ERR599282	ERR562519	TARA_064_SRF_5-20
ERR599283	ERR562473	TARA_084_SRF_20-180
ERR599285	ERR562660	TARA_066_DCM_0.8-5
ERR599286	ERR562563	TARA_072_SRF_180-2000
ERR599287	ERR562383	TARA_072_DCM_180-2000
ERR599288	ERR562420	TARA_085_DCM_20-180
ERR599289	ERR562660	TARA_066_DCM_0.8-5
ERR599290	ERR562671	TARA_072_DCM_0.8->
ERR599291	ERR562490	TARA_084_SRF_180-2000
ERR599292	ERR562550	TARA_072_DCM_20-180
ERR599293	ERR562538	TARA_082_SRF_0.8->
ERR599294	ERR562714	TARA_052_SRF_180-2000
ERR599295	ERR562581	TARA_067_SRF_5-20
ERR599296	ERR562487	TARA_052_DCM_20-180
ERR599297	ERR562607	TARA_068_SRF_0.8->
ERR599298	ERR562385	TARA_082_SRF_0.8-5
ERR599299	ERR562541	TARA_064_DCM_20-180
ERR599300	ERR562660	TARA_066_DCM_0.8-5
ERR599301	ERR562365	TARA_066_SRF_20-180
ERR599302	ERR562378	TARA_067_SRF_0.8-5
ERR599303	ERR562624	TARA_076_DCM_180-2000
ERR599304	ERR562648	TARA_068_SRF_20-180
ERR599305	ERR562611	TARA_070_SRF_0.8-5
ERR599306	ERR562376	TARA_082_SRF_20-180
ERR599307	ERR562401	TARA_072_DCM_0.8-5
ERR599308	ERR562660	TARA_066_DCM_0.8-5
ERR599309	ERR562386	TARA_076_SRF_0.8-5
ERR599310	ERR562409	TARA_085_DCM_180-2000
ERR599311	ERR562588	TARA_078_SRF_0.8-5
ERR599312	ERR562388	TARA_065_SRF_180-2000
ERR599313	ERR562715	TARA_070_SRF_180-2000
ERR599314	ERR562699	TARA_052_SRF_20-180
ERR599315	ERR562660	TARA_066_DCM_0.8-5
ERR599316	ERR562660	TARA_066_DCM_0.8-5
ERR599317	ERR562560	TARA_072_DCM_5-20
ERR599318	ERR562660	TARA_066_DCM_0.8-5
ERR599319	ERR562432	TARA_082_DCM_0.8->
ERR599320	ERR562438	TARA_065_SRF_20-180
ERR599321	ERR562407	TARA_064_SRF_20-180
ERR599322	ERR562603	TARA_078_DCM_0.8-5
ERR599323	ERR562488	TARA_065_DCM_0.8-5
ERR599324	ERR562415	TARA_064_DCM_0.8-5
ERR599325	ERR562525	TARA_085_DCM_0.8-5
ERR599326	ERR562408	TARA_076_SRF_20-180
ERR599327	ERR562660	TARA_066_DCM_0.8-5
ERR599328	ERR562399	TARA_052_DCM_0.8-5
ERR599329	ERR562580	TARA_076_DCM_5-20
ERR599330	ERR562547	TARA_076_DCM_0.8-5
ERR599331	ERR562564	TARA_070_SRF_0.8->
ERR599332	ERR562468	TARA_076_SRF_5-20
ERR599333	ERR562416	TARA_076_DCM_20-180
ERR599334	ERR562660	TARA_066_DCM_0.8-5
ERR599335	ERR562542	TARA_085_SRF_0.8-5
ERR599336	ERR562682	TARA_076_SRF_180-2000
ERR868348	ERR562678	TARA_032_DCM_0.8-5
ERR868352	ERR562670	TARA_125_SRF_0.8-5
ERR868355	ERR562398	TARA_048_SRF_0.8-20
ERR868356	ERR562619	TARA_025_SRF_0.8-5
ERR868357	ERR562517	TARA_102_SRF_0.8-5
ERR868359	ERR562690	TARA_125_MIX_0.8-5
ERR868360	ERR562631	TARA_123_MIX_0.8-5
ERR868363	ERR562702	TARA_124_SRF_0.8-5
ERR868369	ERR562413	TARA_004_SRF_0.8-5
ERR868371	ERR562632	TARA_124_MIX_0.8-5
ERR868374	ERR562616	TARA_109_SRF_0.8-5
ERR868381	ERR562604	TARA_111_DCM_0.8-5
ERR868382	ERR562670	TARA_125_SRF_0.8-5
ERR868383	ERR562406	TARA_042_DCM_0.8-5
ERR868393	ERR562643	TARA_018_SRF_0.8-5
ERR868396	ERR562549	TARA_042_SRF_0.8-5
ERR868400	ERR562729	TARA_036_DCM_0.8-5
ERR868401	ERR562728	TARA_033_SRF_0.8-20
ERR868402	ERR562371	TARA_026_SRF_0.8-20
ERR868403	ERR562364	TARA_022_SRF_0.8-5
ERR868406	ERR562665	TARA_036_SRF_0.8-5
ERR868407	ERR562566	TARA_009_SRF_0.8-5
ERR868409	ERR562706	TARA_041_DCM_0.8-5
ERR868412	ERR562614	TARA_016_SRF_0.8-5
ERR868414	ERR562640	TARA_038_DCM_0.8-5
ERR868418	ERR562373	TARA_025_DCM_0.8-5
ERR868419	ERR562480	TARA_122_DCM_0.8-5
ERR868422	ERR562553	TARA_102_DCM_0.8-5
ERR868424	ERR562535	TARA_100_DCM_0.8-5
ERR868425	ERR562480	TARA_122_DCM_0.8-5
ERR868426	ERR562690	TARA_125_MIX_0.8-5
ERR868428	ERR562665	TARA_036_SRF_0.8-5
ERR868435	ERR562552	TARA_004_DCM_0.8-5
ERR868437	ERR562552	TARA_004_DCM_0.8-5
ERR868439	ERR562555	TARA_034_DCM_0.8-5
ERR868439	ERR562470	TARA_034_DCM_0.8-5
ERR868440	ERR562553	TARA_102_DCM_0.8-5
ERR868441	ERR562616	TARA_109_SRF_0.8-5
ERR868447	ERR562500	TARA_098_SRF_0.8-5
ERR868450	ERR562721	TARA_109_DCM_0.8-5
ERR868456	ERR562418	TARA_024_SRF_0.8-20
ERR868460	ERR562516	TARA_032_SRF_0.8-5
ERR868465	ERR562535	TARA_100_DCM_0.8-5
